	опыт работы	возраст	образование	язык	желаемая з/п	Последнее место работы	пол_Мужчина	волонтерство	полная	проектная	стажировка	частичная	регион_Москва	регион_Санкт-Петербург
0	24.0	45.0	0	0	100000.0	1.0	1	0	1	0	0	0	0	1
1	26.0	49.0	1	1	157869.27000000002	1.0	1	0	1	0	0	0	0	0
2	2.0	23.0	0	0	200000.0	1.0	1	0	1	0	0	0	0	0
3	25.0	56.0	1	0	50000.0	1.0	1	0	1	1	0	1	0	0
4	12.0	38.0	1	1	90000.0	1.0	1	0	1	0	0	0	0	0
5	10.0	27.0	0	0	15000.0	1.0	0	0	0	0	0	1	0	0
6	17.0	37.0	0	0	70000.0	1.0	1	0	1	0	0	0	1	0
7	15.0		1	0	120000.0	1.0	1	0	1	0	0	0	0	0
8	8.0	32.0	1	0	100000.0	0.0	1	0	1	0	0	1	0	0
9	25.0		1	1	120000.0	1.0	1	0	1	1	0	1	0	0
10	8.0	31.0	0	0	200000.0	1.0	1	0	1	1	1	1	0	0
11	15.0	66.0	1	1	247401.0	1.0	1	0	1	0	0	0	1	0
12	20.0	39.0	0	1	60000.0	1.0	1	0	1	0	0	0	1	0
13	7.0	34.0	1	0	140000.0	0.0	1	0	1	0	0	0	0	0
14	4.0	24.0	0	1	180000.0	1.0	1	0	1	0	0	1	1	0
15	19.0	40.0	1	1	150000.0	1.0	1	0	1	0	0	0	1	0
16	12.0	33.0	1	0	25000.0	1.0	1	0	1	0	0	0	0	0
17	17.0	40.0	1	0	40000.0	1.0	1	0	1	0	0	0	0	1
18	9.0	30.0	1	0	15000.0	1.0	0	0	1	0	0	0	0	0
19	6.0	55.0	1	1	200000.0	1.0	1	0	1	0	0	0	0	0
20	8.0	28.0	0	0	21500.0	1.0	1	0	1	0	0	0	0	0
21	11.0	35.0	1	0	25000.0	1.0	1	0	1	0	0	1	0	0
22	12.0	35.0	1	0	70000.0	1.0	1	0	1	0	0	0	1	0
23	5.0	42.0	1	0	140000.0	1.0	1	0	1	1	0	1	0	0
24	16.0	43.0	1	0	50000.0	1.0	1	0	1	0	0	0	0	0
25	22.0	45.0	1	0	35000.0	1.0	1	0	1	0	0	0	0	0
26	2.0	28.0	0	1	55000.0	0.0	1	0	1	1	0	1	0	0
27	17.0	59.0	1	0	40000.0	1.0	1	0	1	0	0	0	0	1
28	9.0	32.0	0	0	1000.0	1.0	1	1	1	1	1	1	0	1
29	10.0	30.0	1	0	20000.0	1.0	1	0	0	1	0	1	0	0
30	10.0	32.0	0	0	40000.0	1.0	1	0	1	0	0	0	0	0
31	21.0	44.0	1	0	180000.0	1.0	1	0	1	1	0	1	0	0
32	16.0	39.0	1	0	35000.0	1.0	1	0	1	0	0	0	0	0
33	35.0	57.0	1	1	100000.0	1.0	1	0	1	0	0	1	0	0
34	10.0	53.0	1	0	250000.0	1.0	1	0	1	0	0	1	1	0
35	18.0	47.0	1	0	70000.0	1.0	1	0	1	1	0	1	0	0
36	20.0	42.0	1	0	100000.0	1.0	1	0	1	0	0	0	1	0
37	11.0		0	0	40000.0	1.0	1	0	1	0	1	1	0	0
38	8.0	24.0	0	0	60000.0	1.0	1	0	1	0	0	1	0	0
39	20.0	46.0	1	0	25000.0	1.0	1	0	1	0	0	0	0	0
40	11.0	47.0	0	0	80000.0	1.0	1	0	1	0	0	1	0	0
41	8.0	41.0	0	0	40000.0	1.0	1	0	1	1	1	1	1	0
42	17.0	38.0	1	0	20000.0	1.0	1	0	1	0	0	0	0	0
43	28.0	53.0	1	1	40000.0	1.0	1	0	1	0	0	0	0	0
44	11.0	34.0	1	1	90000.0	0.0	1	0	1	0	0	0	0	0
45	29.0	52.0	0	0	90000.0	1.0	1	0	0	0	0	1	0	0
46	12.0	36.0	1	1	35000.0	1.0	1	0	1	0	0	0	0	0
47	5.0	22.0	0	0	30000.0	1.0	1	0	1	0	1	1	0	0
48	11.0	58.0	0	1	40000.0	1.0	1	0	0	1	0	1	0	0
49	19.0	45.0	1	0	30000.0	1.0	1	0	1	0	0	1	0	0
50	18.0	40.0	1	0	40000.0	1.0	0	0	1	0	0	0	1	0
51	6.0	24.0	0	0	5000.0	1.0	1	0	0	1	0	1	1	0
52	13.0	35.0	1	1	80000.0	1.0	0	0	1	0	0	0	0	0
53	27.0	56.0	1	1	45000.0	1.0	0	0	0	1	0	0	0	0
54	20.0	61.0	1	0	60000.0	1.0	1	0	1	0	0	0	0	0
55	11.0	36.0	1	1	50000.0	1.0	0	0	1	1	0	0	0	0
